participant_id,frame,question,main,follow_up,choice,evaluation
64,loss,Disease,True,,2,50
64,loss,Disease,,True,1,80
64,loss,Unemployment,True,,0,91
64,loss,Painting,True,,2,60
64,loss,Painting,,True,1,80
64,loss,Virus,True,,1,70
66,gain,Disease,True,,2,71
66,gain,Disease,,True,1,56
66,gain,Unemployment,True,,1,71
66,gain,Painting,True,,0,59
66,gain,Virus,True,,1,56
67,loss,Disease,True,,1,60
67,loss,Unemployment,True,,0,85
67,loss,Painting,True,,1,65
67,loss,Virus,True,,1,55
70,gain,Disease,True,,0,90
70,gain,Unemployment,True,,1,85
70,gain,Painting,True,,0,80
70,gain,Virus,True,,0,85
72,loss,Disease,True,,0,69
72,loss,Unemployment,True,,0,100
72,loss,Painting,True,,0,79
72,loss,Virus,True,,2,70
72,loss,Virus,,True,1,39
76,loss,Disease,True,,1,30
76,loss,Unemployment,True,,0,81
76,loss,Painting,True,,2,21
76,loss,Painting,,True,1,20
76,loss,Virus,True,,1,70
77,gain,Disease,True,,0,66
77,gain,Unemployment,True,,1,78
77,gain,Painting,True,,0,70
77,gain,Virus,True,,0,71
78,gain,Disease,True,,0,59
78,gain,Unemployment,True,,1,70
78,gain,Painting,True,,2,50
78,gain,Painting,,True,0,54
78,gain,Virus,True,,0,72
80,gain,Disease,True,,0,100
80,gain,Unemployment,True,,1,100
80,gain,Painting,True,,0,50
80,gain,Virus,True,,0,100
84,gain,Disease,True,,0,40
84,gain,Unemployment,True,,1,85
84,gain,Painting,True,,2,35
84,gain,Painting,,True,1,50
84,gain,Virus,True,,1,95
86,gain,Disease,True,,0,50
86,gain,Unemployment,True,,1,90
86,gain,Painting,True,,0,70
86,gain,Virus,True,,0,65
88,loss,Disease,True,,2,40
88,loss,Disease,,True,1,50
88,loss,Unemployment,True,,0,60
88,loss,Painting,True,,2,40
88,loss,Painting,,True,0,60
88,loss,Virus,True,,0,35
90,loss,Disease,True,,2,28
90,loss,Disease,,True,1,50
90,loss,Unemployment,True,,0,80
90,loss,Painting,True,,1,59
90,loss,Virus,True,,2,30
90,loss,Virus,,True,1,60
92,loss,Disease,True,,1,40
92,loss,Unemployment,True,,0,91
92,loss,Painting,True,,2,48
92,loss,Painting,,True,1,20
92,loss,Virus,True,,1,33
93,loss,Disease,True,,1,80
93,loss,Unemployment,True,,0,100
93,loss,Painting,True,,1,79
93,loss,Virus,True,,0,62
95,loss,Disease,True,,1,26
95,loss,Unemployment,True,,0,79
95,loss,Painting,True,,0,44
95,loss,Virus,True,,2,22
95,loss,Virus,,True,0,20
97,gain,Disease,True,,2,50
97,gain,Disease,,True,1,52
97,gain,Unemployment,True,,1,50
97,gain,Painting,True,,0,50
97,gain,Virus,True,,1,50
105,loss,Disease,True,,1,20
105,loss,Unemployment,True,,0,90
105,loss,Painting,True,,0,70
105,loss,Virus,True,,0,55
106,loss,Disease,True,,1,23
106,loss,Unemployment,True,,0,100
106,loss,Painting,True,,0,52
106,loss,Virus,True,,1,53
107,loss,Disease,True,,2,81
107,loss,Disease,,True,1,100
107,loss,Unemployment,True,,0,100
107,loss,Painting,True,,2,100
107,loss,Painting,,True,0,97
107,loss,Virus,True,,2,100
107,loss,Virus,,True,1,100
