"contrast","choice","estimate","SE","df","t.ratio","p.value"
"gain - loss","2",2.78854451808188,2.25292131368261,1623.39955361503,1.23774607712497,0.215989209640736
"gain - loss","0",11.5283264150758,1.99625766116654,1282.16814048937,5.77496915319992,9.64707350898753e-09
"gain - loss","1",0.265474264287282,1.97738944435925,1270.04710379889,0.134254921328007,0.893222269190263
