"Dataset","Term","Choice (vs Sure)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Strict","frameloss","Risky","2.52","[2.01, 3.03]","12.44","[7.45, 20.76]","<.001"
"Strict","taskfollow","Risky","0.21","[-0.52, 0.94]","1.23","[0.60, 2.56]","0.57"
"Strict","frameloss:taskfollow","Risky","0.36","[-0.76, 1.48]","1.43","[0.47, 4.38]","0.53"
"Less Strict","frameloss","Risky","2.38","[1.94, 2.82]","10.79","[6.98, 16.70]","<.001"
"Less Strict","taskfollow","Risky","0.27","[-0.30, 0.84]","1.31","[0.74, 2.32]","0.35"
"Less Strict","frameloss:taskfollow","Risky","0.31","[-0.59, 1.22]","1.36","[0.55, 3.37]","0.50"
"Super Strict","frameloss","Risky","2.52","[1.93, 3.12]","12.49","[6.88, 22.66]","<.001"
"Super Strict","taskfollow","Risky","0.78","[-0.11, 1.68]","2.19","[0.89, 5.36]","0.09"
"Super Strict","frameloss:taskfollow","Risky","-0.11","[-1.49, 1.27]","0.90","[0.23, 3.56]","0.88"
