"contrast","frame","estimate","SE","df","t.ratio","p.value"
"choice2 - choice0","gain",-9.63177876809268,1.49277896221421,1557.70851233927,-6.45224712559324,4.39316028000292e-10
"choice2 - choice1","gain",-3.89398142353764,1.78439657703346,1585.29562107723,-2.18223990880511,0.0745341289197224
"choice0 - choice1","gain",5.73779734455504,1.40305413313883,1662.50772416643,4.08950532202115,0.000133991650172138
"choice2 - choice0","loss",-0.891996871098776,1.89117327501592,1609.88914648188,-0.471663217158811,0.884630587191471
"choice2 - choice1","loss",-6.41705167733224,1.60584622568882,1583.91337283811,-3.99605614452883,0.000198843077173994
"choice0 - choice1","loss",-5.52505480623346,1.71689058980279,1705.86960339993,-3.21805876218828,0.0037595763482996
