"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"frame",2059.66538742829,2059.66538742829,1,708.083011531699,9.49079454728425,0.00214502249103758
"choice",5055.79588800766,2527.89794400383,2,1621.36526999246,11.6483775323325,9.48797680734379e-06
"question",5344.0203326741,2672.01016633705,2,1261.39835156513,12.3124366082705,5.0617555834574e-06
"frame:choice",6130.38842524832,3065.19421262416,2,1617.97679074615,14.1242012887656,8.29601794969735e-07
