"term","estimate","std.error","statistic","p.value","question","task"
"(Intercept)",0.266891891892055,0.12663566812447,-10.430802169876,1.79367573515246e-25,"Disease","main"
"frameloss",1.59083516017357,0.186496810746978,2.48936769719415,0.0127970538239501,"Disease","main"
"(Intercept)",0.157407407407568,0.150646058102294,-12.273257636861,1.26076748899811e-34,"Painting","main"
"frameloss",2.40381558028966,0.205876965588517,4.26010407494275,2.04331736170918e-05,"Painting","main"
"(Intercept)",0.15030674846731,0.153217402061847,-12.3685499019499,3.86740362137399e-35,"Virus","main"
"frameloss",1.31187122735495,0.227991078296703,1.19063665934208,0.233796253607582,"Virus","main"
