"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"frame",214.675307832082,214.675307832082,1,304.543610384748,1.13691942953619,0.287148776368965
"choice",65.860882835435,65.860882835435,1,280.635911871633,0.34879892847566,0.555269117214748
"frame:choice",643.898033950531,643.898033950531,1,274.327284900927,3.41008098617064,0.0658762431839604
