"contrast","frame","estimate","SE","df","t.ratio","p.value"
"choice2 - choice0","gain",-10.4609823470731,1.80519069717988,1133.4385206393,-5.79494585442723,2.65268309540545e-08
"choice2 - choice1","gain",-6.30876228703566,2.2090137267308,1165.86302368926,-2.85591810077714,0.0121422231838892
"choice0 - choice1","gain",4.15222006003749,1.71811857386825,1202.44597241724,2.41672497066894,0.0417928440037194
"choice2 - choice0","loss",-0.291664917216391,2.26297432968541,1164.23397020751,-0.128885649912316,0.990883795026329
"choice2 - choice1","loss",-6.75935313176103,1.92495352013003,1157.35975052606,-3.51143706124625,0.0013437778133083
"choice0 - choice1","loss",-6.46768821454464,1.97450946894292,1211.54605415177,-3.27559240220164,0.00311005059846403
