"contrast","estimate","SE","df","t.ratio","p.value"
"Disease - Painting",-4.25074438223595,0.982692888087119,911.588055850565,-4.32560816687127,5.01601537628016e-05
"Disease - Virus",-1.76836762349774,0.98786213266699,913.82788152231,-1.79009556599115,0.17344762375974
"Painting - Virus",2.48237675873821,0.988117465733968,914.360944790742,2.5122283987707,0.0325718463366912
