"contrast","estimate","SE","df","t.ratio","p.value"
"Disease - Painting",-1.70574655418052,2.57659367535001,124.893225961738,-0.6620161224873,0.785890579242664
"Disease - Virus",4.77623612039324,2.84256045290225,122.473895471046,1.68025841473897,0.216873798970388
"Painting - Virus",6.48198267457375,3.05205932100347,135.568876552867,2.12380625434324,0.0888191715863632
