"Dataset","Term","Choice (vs Sure)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Strict","frameloss","Risky","1.77","[1.33, 2.21]","5.86","[3.77, 9.10]","<.001"
"Strict","taskfollow","Risky","0.28","[-0.46, 1.01]","1.32","[0.63, 2.75]","0.46"
"Strict","frameloss:taskfollow","Risky","0.01","[-1.21, 1.23]","1.01","[0.30, 3.41]","0.99"
"Less Strict","frameloss","Risky","1.59","[1.21, 1.96]","4.89","[3.37, 7.10]","<.001"
"Less Strict","taskfollow","Risky","0.33","[-0.29, 0.95]","1.39","[0.75, 2.59]","0.30"
"Less Strict","frameloss:taskfollow","Risky","-0.33","[-1.28, 0.62]","0.72","[0.28, 1.86]","0.50"
"Super Strict","frameloss","Risky","1.65","[1.13, 2.17]","5.21","[3.10, 8.76]","<.001"
"Super Strict","taskfollow","Risky","0.39","[-0.47, 1.26]","1.48","[0.62, 3.53]","0.37"
"Super Strict","frameloss:taskfollow","Risky","-0.15","[-1.54, 1.24]","0.86","[0.21, 3.47]","0.84"
