"term","estimate","std.error","statistic","p.value","conf.low","conf.high","question","task","term.1","estimate.1","std.error.1","statistic.1","p.value.1","conf.low.1","conf.high.1","question.1","task.1","term.2","estimate.2","std.error.2","statistic.2","p.value.2","conf.low.2","conf.high.2","question.2","task.2"
"(Intercept)",0.500000000000102,0.408248215504701,-1.69785722076662,0.0895347130250742,0.214256837182321,1.08543972198159,"Disease","follow-up","(Intercept)",0.190476190479261,0.54554344848198,-3.03958938779591,0.00236900890293294,0.0555637867839646,0.500306321093367,"Painting","follow-up","(Intercept)",0.666666666666667,0.408248288209407,-0.993182628852039,0.320620962211983,0.289911291958753,1.46797119024406,"Virus","follow-up"
"frameloss",11.1999999999977,0.634334995998903,3.80857716118349,0.000139768732441594,3.44233906016355,42.5937736610753,"Disease","follow-up","frameloss",6.48529411263066,0.63565626501585,2.9411134167782,0.00327034767708534,2.0148609408428,25.5726446674183,"Painting","follow-up","frameloss",4.49999999998665,0.65828023828522,2.28485880221976,0.0223211083902908,1.29776763444286,17.6802382349458,"Virus","follow-up"
