"term","estimate","std.error","statistic","p.value","conf.low","conf.high","question","task","term.1","estimate.1","std.error.1","statistic.1","p.value.1","conf.low.1","conf.high.1","question.1","task.1","term.2","estimate.2","std.error.2","statistic.2","p.value.2","conf.low.2","conf.high.2","question.2","task.2"
"(Intercept)",0.362068965518272,0.254676895349374,-3.98905668857976,6.63365685826554e-05,0.214931165409728,0.586515722731502,"Disease","follow-up","(Intercept)",0.378378378379324,0.313776115551964,-3.09730580135734,0.00195288303894974,0.197751373711032,0.68360022865175,"Painting","follow-up","(Intercept)",0.633333333333335,0.293197732028607,-1.5578510765941,0.119268554894553,0.350664021733039,1.11568554787427,"Virus","follow-up"
"frameloss",14.7301587301169,0.404745172091204,6.64590263669827,3.0136443042877e-11,6.86937204292492,33.8202587137137,"Disease","follow-up","frameloss",3.96428571427582,0.397466048307621,3.4652662711675,0.000529706738063286,1.85105586980241,8.85103042540577,"Painting","follow-up","frameloss",3.522267206475,0.444264178305166,2.83413549078673,0.00459498453904478,1.49985554518947,8.62486145312659,"Virus","follow-up"
