"Dataset","Choice (vs Sure)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Strict","Risky (loss vs gain)","1.58","[0.67, 2.50]","4.86","[1.94, 12.16]","<.001"
"Less Strict","Risky (loss vs gain)","1.38","[0.60, 2.16]","3.96","[1.82, 8.64]","<.001"
"Super Strict","Risky (loss vs gain)","1.87","[0.62, 3.12]","6.49","[1.87, 22.54]","0.003"
