"contrast","frame","estimate","SE","df","t.ratio","p.value"
"choice0 - choice1","gain",5.71693237280018,3.93014521599929,172.994383029998,1.45463642145512,0.147581961640649
"choice0 - choice1","loss",-5.95071607967421,4.02555120107765,155.705760644893,-1.47823634141858,0.141364563044382
