"contrast","estimate","SE","df","t.ratio","p.value"
"Disease - Painting",0.355266396600555,2.29023881365942,192.854810080703,0.155121987489549,0.986822651321728
"Disease - Virus",4.36738105964214,2.43630435869916,181.587681715444,1.79262539347673,0.174923532100709
"Painting - Virus",4.01211466304158,2.63993708662308,198.510922308146,1.51977662019732,0.283831429619249
