"term","estimate","std.error","statistic","p.value","question","task"
"(Intercept)",0.231481481481487,0.156938284975509,-9.32376317534208,1.12285502892077e-20,"Disease","main"
"frameloss",1.65913043478649,0.225264042536662,2.24755635631851,0.024604493179479,"Disease","main"
"(Intercept)",0.166666666666679,0.17521913685525,-10.2258206574101,1.51935542496934e-24,"Painting","main"
"frameloss",2.24460431655249,0.239011964299065,3.38279825050794,0.000717513210645246,"Painting","main"
"(Intercept)",0.156521739130645,0.179236042019159,-10.3470281399513,4.31677750034751e-25,"Virus","main"
"frameloss",1.00673400673365,0.276853119074767,0.0242418601244703,0.980659688379766,"Virus","main"
