"contrast","estimate","SE","df","t.ratio","p.value"
"Disease - Painting",-4.13658470309556,0.836531019544246,1260.07514242348,-4.94492685441508,2.58436715638855e-06
"Disease - Virus",-2.38877970141384,0.840063102772011,1261.93541342068,-2.84357174304101,0.0125895869620115
"Painting - Virus",1.74780500168172,0.836186959546715,1259.63675718304,2.09020839386108,0.0922484763615246
