"Dataset","Choice (vs Non-neutral)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Strict","Neutral (loss vs gain)","0.51","[0.06, 0.95]","1.66","[1.07, 2.58]","0.02"
"Less Strict","Neutral (loss vs gain)","0.46","[0.10, 0.83]","1.59","[1.10, 2.29]","0.01"
"Super Strict","Neutral (loss vs gain)","0.61","[0.04, 1.17]","1.83","[1.04, 3.23]","0.04"
