"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"frame",645.981130901795,645.981130901795,1,219.653028197907,3.71024015652302,0.0553703045519419
"choice",5.17690923957909,5.17690923957909,1,164.956677373534,0.0297339591336785,0.863306643281701
"question",838.23149699931,419.115748499655,2,130.73248276281,2.40722213997768,0.0940474193805702
"frame:choice",779.37619963479,779.37619963479,1,168.577489595827,4.47640454897885,0.0358348320515638
