"contrast","choice","estimate","SE","df","t.ratio","p.value"
"gain - loss","0",7.55043287533948,3.93492700791021,338.69217222803,1.91882412562194,0.0558468212226568
"gain - loss","1",-1.33190800559178,3.77381965160289,360.016823568922,-0.352933666299095,0.724344717614047
