"term","estimate","std.error","statistic","p.value","question","task"
"(Intercept)",0.173076923076921,0.208440135868967,-8.41497792127644,3.92968919623683e-17,"Disease","main"
"frameloss",1.83333333333818,0.288731084142033,2.09930913872365,0.0357896583537259,"Disease","main"
"(Intercept)",0.158227848101396,0.215241871125237,-8.56580180482257,1.07326356847402e-17,"Painting","main"
"frameloss",2.42585858586228,0.287655714195021,3.0807158489168,0.00206503617001159,"Painting","main"
"(Intercept)",0.158227848101397,0.215241871125238,-8.56580180482251,1.07326356847454e-17,"Virus","main"
"frameloss",1.080341880341,0.323845742115998,0.238624557510784,0.81139672100568,"Virus","main"
