"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"frame",2049.38160575161,2049.38160575161,1,708.042321217282,9.44334091492344,0.00220047964753819
"choice",5141.38400367231,2570.69200183616,2,1623.11018197218,11.8454859224242,7.81184438756127e-06
"frame:choice",6063.79398805409,3031.89699402705,2,1618.9233554524,13.9706713738306,9.64670289388535e-07
